scheduler,seed,tasks,arrival_mode,card_cv,card_jfi,max_min_ratio,avg_load_imbalance,completion_rate,throughput,flat_pct,bursty_pct
stps-spatial,99,800,poisson,0.8936848348654808,0.5765222135015718,18.298783282465664,94126548775.71327,1.0,1.5533980582524272,50,50
stps-spatial,123,800,poisson,0.9063507205772059,0.5702869774328727,18.95914446312374,91199309129.22626,1.0,1.556420233463035,50,50
stps-spatial,2024,800,poisson,0.9384323412088555,0.5527199016163906,19.46807274987862,94430890820.81636,1.0,1.5533980582524272,50,50
stps-spatial,21,800,poisson,1.1976158400682813,0.43688997790357975,46.06987100396322,153353948389.11258,1.0,1.556420233463035,25,75
stps-spatial,42,800,poisson,1.1885953160790041,0.4390951602817904,46.60862199963308,164423979814.74136,1.0,1.5594541910331383,25,75
stps-spatial,99,800,poisson,1.2025359464235517,0.43300671445536554,49.21491953689902,158585421255.9263,1.0,1.5533980582524272,25,75
stps-spatial,123,800,poisson,1.1876452773705124,0.43763005024292134,46.353947256636054,148641621513.8685,1.0,1.556420233463035,25,75
stps-spatial,2024,800,poisson,1.2052507209577008,0.43257776230126094,46.39298141076208,152410523793.77942,1.0,1.5533980582524272,25,75
stps-spatial,21,800,poisson,0.9583531372063802,0.5622854458961514,34.58943065084636,95554172140.70901,1.0,1.556420233463035,0,100
stps-spatial,42,800,poisson,0.9022413891854678,0.5857859654337848,33.386101876139044,93291921228.83691,1.0,1.5594541910331383,0,100
stps-spatial,99,800,poisson,0.9795367848234238,0.5505321933246797,35.59686630733332,101204530818.65962,1.0,1.5533980582524272,0,100
stps-spatial,123,800,poisson,0.9583220656699651,0.5626125933237504,35.40307342220866,99406312223.86565,1.0,1.556420233463035,0,100
stps-spatial,2024,800,poisson,1.0056167191413345,0.5402354548849027,36.960125528728724,104800863077.78473,1.0,1.5533980582524272,0,100
